n_train,cross_entropy,f1,seed,experiment,test_acc,n_test,value,train_time,dataset,method,n_params
32,1.2846486299276955e-06,1.0,0,08_gaussian_mixture,1.0,32,,13.718974828720093,gaussian_mixture,qifm,31
32,,,0,08_gaussian_mixture,0.65625,32,,,gaussian_mixture,logreg,3
32,,,0,08_gaussian_mixture,0.65625,32,,,gaussian_mixture,mlp,17
32,,,0,08_gaussian_mixture,1.0,32,,,gaussian_mixture,rbf_svm,31
32,,,0,08_gaussian_mixture,1.0,32,,,gaussian_mixture,rff,97
32,0.00010791187341661112,1.0,1,08_gaussian_mixture,1.0,32,,11.727499008178711,gaussian_mixture,qifm,31
32,,,1,08_gaussian_mixture,0.75,32,,,gaussian_mixture,logreg,3
32,,,1,08_gaussian_mixture,1.0,32,,,gaussian_mixture,mlp,17
32,,,1,08_gaussian_mixture,1.0,32,,,gaussian_mixture,rbf_svm,28
32,,,1,08_gaussian_mixture,1.0,32,,,gaussian_mixture,rff,97
32,0.9932581817723221,0.4980392156862745,0,09_fourier_labels,0.5,32,,15.936740159988403,fourier_labels,qifm,31
32,,,0,09_fourier_labels,0.5,32,,,fourier_labels,logreg,3
32,,,0,09_fourier_labels,0.5,32,,,fourier_labels,mlp,17
32,,,0,09_fourier_labels,0.53125,32,,,fourier_labels,rbf_svm,88
32,,,0,09_fourier_labels,0.5,32,,,fourier_labels,rff,97
32,1.2600001897214774,0.45893719806763283,1,09_fourier_labels,0.5625,32,,15.646014928817749,fourier_labels,qifm,31
32,,,1,09_fourier_labels,0.625,32,,,fourier_labels,logreg,3
32,,,1,09_fourier_labels,0.59375,32,,,fourier_labels,mlp,17
32,,,1,09_fourier_labels,0.625,32,,,fourier_labels,rbf_svm,94
32,,,1,09_fourier_labels,0.625,32,,,fourier_labels,rff,97
,,,,10_sparse_signal,,,"matmul: Input operand 1 has a mismatch in its core dimension 0, with gufunc signature (n?,k),(k,m?)->(n?,m?) (size 8 is different from 4)",,,ERROR,
32,0.06313695667808589,0.9687194525904204,0,11_qifm_phase_only,0.96875,32,,14.275382041931152,two_moons,qifm,31
32,,,0,11_qifm_phase_only,0.9375,32,,,two_moons,logreg,3
32,,,0,11_qifm_phase_only,0.78125,32,,,two_moons,mlp,17
32,,,0,11_qifm_phase_only,0.9375,32,,,two_moons,rbf_svm,58
32,,,0,11_qifm_phase_only,0.96875,32,,,two_moons,rff,97
32,0.05461107060231265,1.0,1,11_qifm_phase_only,1.0,32,,14.575313091278076,two_moons,qifm,31
32,,,1,11_qifm_phase_only,0.8125,32,,,two_moons,logreg,3
32,,,1,11_qifm_phase_only,0.90625,32,,,two_moons,mlp,17
32,,,1,11_qifm_phase_only,1.0,32,,,two_moons,rbf_svm,52
32,,,1,11_qifm_phase_only,0.84375,32,,,two_moons,rff,97
32,0.13857056209766366,0.9687194525904204,0,12_qifm_amp_only,0.96875,32,,12.497731924057007,two_moons,qifm,31
32,,,0,12_qifm_amp_only,0.9375,32,,,two_moons,logreg,3
32,,,0,12_qifm_amp_only,0.78125,32,,,two_moons,mlp,17
32,,,0,12_qifm_amp_only,0.9375,32,,,two_moons,rbf_svm,58
32,,,0,12_qifm_amp_only,0.96875,32,,,two_moons,rff,97
32,0.30555047935758656,0.9671794871794872,1,12_qifm_amp_only,0.96875,32,,12.477473974227905,two_moons,qifm,31
32,,,1,12_qifm_amp_only,0.8125,32,,,two_moons,logreg,3
32,,,1,12_qifm_amp_only,0.90625,32,,,two_moons,mlp,17
32,,,1,12_qifm_amp_only,1.0,32,,,two_moons,rbf_svm,52
32,,,1,12_qifm_amp_only,0.84375,32,,,two_moons,rff,97
32,0.21970197837567357,0.9687194525904204,0,13_qifm_hybrid_enc,0.96875,32,,16.61445903778076,two_moons,qifm,31
32,,,0,13_qifm_hybrid_enc,0.9375,32,,,two_moons,logreg,3
32,,,0,13_qifm_hybrid_enc,0.78125,32,,,two_moons,mlp,17
32,,,0,13_qifm_hybrid_enc,0.9375,32,,,two_moons,rbf_svm,58
32,,,0,13_qifm_hybrid_enc,0.96875,32,,,two_moons,rff,97
