experiment,method,best_classical,qifm_mean,best_classical_mean,mean_acc,std_acc,mean,n_params,n
13_qifm_hybrid_enc,classical_rbf_svm,,,,0.96875,0.04419417382415922,,55,2
13_qifm_hybrid_enc,classical_rff,,,,0.90625,0.08838834764831845,,97,2
13_qifm_hybrid_enc,LEARNING_SIGNAL,rbf_svm,0.859375,0.96875,,,-0.109375,,2
14_qifm_no_hopping,qifm,,,,0.671875,0.11048543456039805,,28,2
14_qifm_no_hopping,classical_logreg,,,,0.640625,0.02209708691207961,,3,2
14_qifm_no_hopping,classical_mlp,,,,0.609375,0.02209708691207961,,17,2
14_qifm_no_hopping,classical_rbf_svm,,,,0.625,0.04419417382415922,,83,2
14_qifm_no_hopping,classical_rff,,,,0.65625,0.08838834764831845,,97,2
14_qifm_no_hopping,LEARNING_SIGNAL,rff,0.671875,0.65625,,,0.015625,,2
15_qifm_no_entanglement,qifm,,,,0.921875,0.06629126073623882,,30,2
15_qifm_no_entanglement,classical_logreg,,,,0.875,0.08838834764831845,,3,2
15_qifm_no_entanglement,classical_mlp,,,,0.84375,0.08838834764831845,,17,2
15_qifm_no_entanglement,classical_rbf_svm,,,,0.96875,0.04419417382415922,,55,2
15_qifm_no_entanglement,classical_rff,,,,0.90625,0.08838834764831845,,97,2
15_qifm_no_entanglement,LEARNING_SIGNAL,rbf_svm,0.921875,0.96875,,,-0.046875,,2
16_qifm_with_data_potential,qifm,,,,0.859375,0.15467960838455727,,31,2
16_qifm_with_data_potential,classical_logreg,,,,0.875,0.08838834764831845,,3,2
16_qifm_with_data_potential,classical_mlp,,,,0.84375,0.08838834764831845,,17,2
16_qifm_with_data_potential,classical_rbf_svm,,,,0.96875,0.04419417382415922,,55,2
16_qifm_with_data_potential,classical_rff,,,,0.90625,0.08838834764831845,,97,2
16_qifm_with_data_potential,LEARNING_SIGNAL,rbf_svm,0.859375,0.96875,,,-0.109375,,2
17_qifm_fixed_projectors,qifm,,,,0.84375,0.0,,15,2
17_qifm_fixed_projectors,classical_logreg,,,,0.875,0.08838834764831845,,3,2
17_qifm_fixed_projectors,classical_mlp,,,,0.84375,0.08838834764831845,,17,2
17_qifm_fixed_projectors,classical_rbf_svm,,,,0.96875,0.04419417382415922,,55,2
17_qifm_fixed_projectors,classical_rff,,,,0.90625,0.08838834764831845,,97,2
17_qifm_fixed_projectors,LEARNING_SIGNAL,rbf_svm,0.84375,0.96875,,,-0.125,,2
18_qifm_trainable_observables,qifm,,,,0.859375,0.15467960838455727,,31,2
18_qifm_trainable_observables,classical_logreg,,,,0.875,0.08838834764831845,,3,2
18_qifm_trainable_observables,classical_mlp,,,,0.84375,0.08838834764831845,,17,2
18_qifm_trainable_observables,classical_rbf_svm,,,,0.96875,0.04419417382415922,,55,2
18_qifm_trainable_observables,classical_rff,,,,0.90625,0.08838834764831845,,97,2
18_qifm_trainable_observables,LEARNING_SIGNAL,rbf_svm,0.859375,0.96875,,,-0.109375,,2
19_qifm_vs_tiny_mlp,qifm,,,,0.859375,0.15467960838455727,,31,2
19_qifm_vs_tiny_mlp,classical_mlp,,,,0.84375,0.08838834764831845,,17,2
19_qifm_vs_tiny_mlp,LEARNING_SIGNAL,mlp,0.859375,0.84375,,,0.015625,,2
20_qifm_vs_rbf_rff,qifm,,,,0.71875,0.08838834764831845,,31,2
20_qifm_vs_rbf_rff,classical_rbf_svm,,,,1.0,0.0,,56,2
20_qifm_vs_rbf_rff,classical_rff,,,,0.9375,0.04419417382415922,,97,2
20_qifm_vs_rbf_rff,LEARNING_SIGNAL,rbf_svm,0.71875,1.0,,,-0.28125,,2
21_noise_robustness,qifm,,,,0.8125,0.04419417382415922,,31,2
21_noise_robustness,classical_logreg,,,,0.828125,0.06629126073623882,,3,2
21_noise_robustness,classical_mlp,,,,0.8125,0.13258252147247765,,17,2
21_noise_robustness,classical_rbf_svm,,,,0.890625,0.02209708691207961,,61,2
21_noise_robustness,classical_rff,,,,0.828125,0.11048543456039805,,97,2
21_noise_robustness,LEARNING_SIGNAL,rbf_svm,0.8125,0.890625,,,-0.078125,,2
22_low_data_sweep,qifm,,,,0.875,0.04419417382415922,,31,2
22_low_data_sweep,classical_logreg,,,,0.453125,0.1988737822087165,,3,2
22_low_data_sweep,classical_mlp,,,,0.515625,0.1988737822087165,,17,2
22_low_data_sweep,classical_rbf_svm,,,,0.984375,0.02209708691207961,,37,2
22_low_data_sweep,classical_rff,,,,0.75,0.0,,97,2
22_low_data_sweep,LEARNING_SIGNAL,rbf_svm,0.875,0.984375,,,-0.109375,,2
23_param_count_sweep,qifm,,,,0.921875,0.06629126073623882,,30,2
23_param_count_sweep,classical_logreg,,,,0.875,0.08838834764831845,,3,2
23_param_count_sweep,classical_mlp,,,,0.84375,0.08838834764831845,,17,2
23_param_count_sweep,classical_rbf_svm,,,,0.96875,0.04419417382415922,,55,2
23_param_count_sweep,classical_rff,,,,0.90625,0.08838834764831845,,97,2
23_param_count_sweep,LEARNING_SIGNAL,rbf_svm,0.921875,0.96875,,,-0.046875,,2
24_more_iterations,qifm,,,,0.609375,0.06629126073623882,,31,2
24_more_iterations,classical_logreg,,,,0.546875,0.15467960838455727,,3,2
24_more_iterations,classical_mlp,,,,0.421875,0.11048543456039805,,17,2
24_more_iterations,classical_rbf_svm,,,,0.578125,0.11048543456039805,,83,2
24_more_iterations,classical_rff,,,,0.640625,0.11048543456039805,,97,2
24_more_iterations,LEARNING_SIGNAL,rff,0.609375,0.640625,,,-0.03125,,2
